company_id,file_name,section,overall_sentiment,sentiment_score,confidence,chunk_count,positive_ratio,negative_ratio
1590955,1590955_10K_2020_0001564590-21-006660.json,item_7,Neutral,-0.05,1.0,94,0.16,0.21
1590955,1590955_10K_2020_0001564590-21-006660.json,item_1A,Negative,-0.41,1.0,111,0.05,0.53
1591698,1591698_10K_2021_0001558370-21-010711.json,item_7,Neutral,0.02,1.0,75,0.17,0.16
1591698,1591698_10K_2021_0001558370-21-010711.json,item_1A,Negative,-0.43,1.0,94,0.03,0.54
1609702,1609702_10K_2021_0001609702-21-000058.json,item_7,Negative,-0.09,1.0,130,0.15,0.25
1609702,1609702_10K_2021_0001609702-21-000058.json,item_1A,Negative,-0.48,1.0,119,0.01,0.61
1614178,1614178_10K_2021_0001614178-21-000065.json,item_7,Neutral,-0.01,1.0,78,0.19,0.18
1614178,1614178_10K_2021_0001614178-21-000065.json,item_1A,Negative,-0.51,1.0,214,0.02,0.63
1615165,1615165_10K_2020_0001564590-21-011303.json,item_7,Neutral,0.01,1.0,116,0.17,0.17
1615165,1615165_10K_2020_0001564590-21-011303.json,item_1A,Negative,-0.37,1.0,133,0.08,0.53
1618732,1618732_10K_2021_0000950170-21-001852.json,item_7,Negative,-0.05,1.0,123,0.15,0.22
1618732,1618732_10K_2021_0000950170-21-001852.json,item_1A,Negative,-0.45,1.0,274,0.03,0.59
1624512,1624512_10K_2020_0001493152-21-007447.json,item_7,Neutral,-0.05,1.0,73,0.07,0.14
1624512,1624512_10K_2020_0001493152-21-007447.json,item_1A,Negative,-0.42,1.0,101,0.05,0.53
1626450,1626450_10K_2020_0001564590-21-009501.json,item_7,Positive,0.11,1.0,82,0.28,0.15
1626450,1626450_10K_2020_0001564590-21-009501.json,item_1A,Negative,-0.5,1.0,227,0.04,0.62
1627857,1627857_10K_2020_0001628280-21-003310.json,item_7,Positive,0.07,1.0,100,0.24,0.15
1627857,1627857_10K_2020_0001628280-21-003310.json,item_1A,Negative,-0.44,1.0,126,0.05,0.58
1640147,1640147_10K_2021_0001640147-21-000073.json,item_7,Positive,0.06,1.0,151,0.23,0.17
1640147,1640147_10K_2021_0001640147-21-000073.json,item_1A,Negative,-0.39,1.0,174,0.05,0.51
1643269,1643269_10K_2021_0001643269-21-000006.json,item_7,Neutral,-0.01,1.0,122,0.2,0.24
1643269,1643269_10K_2021_0001643269-21-000006.json,item_1A,Negative,-0.44,1.0,245,0.06,0.59
1660134,1660134_10K_2021_0001660134-21-000007.json,item_7,Positive,0.1,1.0,101,0.18,0.07
1660134,1660134_10K_2021_0001660134-21-000007.json,item_1A,Negative,-0.45,1.0,245,0.04,0.58
1660280,1660280_10K_2020_0001660280-21-000027.json,item_7,Positive,0.09,1.0,115,0.23,0.14
1660280,1660280_10K_2020_0001660280-21-000027.json,item_1A,Negative,-0.37,1.0,185,0.06,0.51
1665300,1665300_10K_2020_0001628280-21-006256.json,item_7,Negative,-0.12,1.0,66,0.06,0.18
1665300,1665300_10K_2020_0001628280-21-006256.json,item_1A,Negative,-0.47,1.0,207,0.01,0.57
1666134,1666134_10K_2020_0001666134-21-000004.json,item_7,Positive,0.05,1.0,85,0.2,0.13
1666134,1666134_10K_2020_0001666134-21-000004.json,item_1A,Negative,-0.48,1.0,185,0.04,0.62
